"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-09-15 ~ 2026-09-14"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"118","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","월세","24.9100","202609","10","1,000","70","23","2013","통일로 1010","202609~202709","신규","-","",""
"119","서울특별시 노원구 상계동","706-2","0706","0002","노원역 보미더클래스 오피스텔","전세","29.2600","202609","10","20,000","0","17","2023","상계로 32","202611~202811","신규","-","",""
"120","서울특별시 도봉구 창동","630-5","0630","0005","창동 투웨니퍼스트","월세","29.2600","202609","10","18,500","10","6","2017","도봉로110라길 70-14","202610~202810","신규","-","",""
"121","서울특별시 도봉구 창동","607-8","0607","0008","한원힐트리움_NK","월세","34.0000","202609","10","3,000","95","9","2022","덕릉로59라길 54","202610~202810","갱신","사용","3,000","90"
"122","서울특별시 은평구 진관동","60","0060","0000","은평뉴타운솔하임","월세","18.7200","202609","10","12,000","20","10","2017","통일로 1080","202611~202811","신규","-","",""
"123","서울특별시 성북구 삼선동4가","351-1","0351","0001","성신다빈치","월세","37.2400","202609","10","11,000","149","6","2024","보문로 186","202610~202810","갱신","-","11,000","140"
"124","서울특별시 성북구 동선동3가","24","0024","0000","엔젤오피스텔","전세","39.1000","202609","10","16,900","0","3","2004","동소문로28길 34","202609~202809","신규","-","",""
"125","서울특별시 동대문구 이문동","257-18","0257","0018","(257-18)","전세","22.5000","202609","10","8,000","0","4","2003","이문로 145","202610~202810","신규","-","",""
"126","서울특별시 동대문구 청량리동","235-6","0235","0006","힐스테이트 청량리역","월세","21.2000","202609","10","5,000","85","5","2023","왕산로 239","202609~202709","신규","-","",""
"127","서울특별시 동대문구 전농동","602-23","0602","0023","스테이 하이 오피스텔","전세","29.7100","202609","10","30,000","0","16","2024","왕산로 258","202610~202810","신규","-","",""
"128","서울특별시 강북구 미아동","160-14","0160","0014","그랜드파크","전세","18.4800","202609","10","14,400","0","2","2020","도봉로 278","202610~202810","신규","-","",""
"129","서울특별시 은평구 녹번동","144-43","0144","0043","에스클래스","전세","27.0700","202609","10","20,000","0","9","2018","진흥로 114","202610~202810","신규","-","",""
"130","서울특별시 마포구 아현동","737","0737","0000","마포 에스케이 허브 블루","월세","30.9100","202609","10","17,000","25","4","2006","마포대로 204","202610~202810","신규","-","",""
"131","서울특별시 마포구 아현동","733","0733","0000","효성인텔리안","월세","35.9100","202609","10","1,000","95","19","2005","마포대로 208","202610~202810","신규","-","",""
"132","서울특별시 중랑구 망우동","564-5","0564","0005","삼부","월세","21.5500","202609","10","13,000","15","18","2021","상봉로 134","202610~202810","신규","-","",""
"133","서울특별시 동대문구 답십리동","497-23","0497","0023","청계 푸르지오시티","월세","20.6200","202609","10","1,000","61","12","2015","천호대로 257","202610~202710","갱신","사용","1,000","58"
"134","서울특별시 양천구 신정동","319-18","0319","0018","헤리티지Ⅱ","월세","27.0500","202609","10","5,000","100","8","2020","목동서로 301-15","202610~202810","신규","-","",""
"135","서울특별시 마포구 성산동","232-1","0232","0001","엔트라움마포","전세","34.7200","202609","10","36,500","0","3","2023","동교로19길 102","202609~202809","갱신","사용","35,200","0"
"136","서울특별시 강서구 염창동","242-5","0242","0005","등촌노블레르","월세","27.6400","202609","10","25,290","4","12","2020","양천로65길 40","202609~202809","갱신","사용","25,000","0"
"137","서울특별시 마포구 상암동","1734","1734","0000","상암 한화 오벨리스크","월세","19.9300","202609","10","500","72","7","2013","구룡길 19","202609~202709","신규","-","",""
"138","서울특별시 강서구 화곡동","24-92","0024","0092","아덴하임","월세","26.6300","202609","10","19,170","7","12","2020","화곡로 238","202611~202811","신규","-","",""
"139","서울특별시 양천구 목동","919","0919","0000","목동 성우네트빌","전세","43.1700","202609","10","16,500","0","2","2004","목동서로 186","202609~202809","신규","-","",""
"140","서울특별시 강서구 화곡동","24-168","0024","0168","더레스트","전세","24.3000","202609","10","23,000","0","8","2023","까치산로 78","202610~202810","신규","-","",""
"141","서울특별시 강서구 등촌동","628-18","0628","0018","트라비하우스","월세","50.1600","202609","10","10,000","140","7","2005","화곡로68길 47","202610~202710","신규","-","",""
"142","서울특별시 마포구 성산동","593-5","0593","0005","상암미르웰한올림","월세","16.3600","202609","10","1,000","75","8","2018","모래내로3길 11","202609~202709","신규","-","",""
"143","서울특별시 영등포구 여의도동","44-5","0044","0005","힐스테이트 여의도 파인루체","전세","46.9400","202609","10","53,000","0","10","2023","여의대방로69길 19","202610~202810","신규","-","",""
"144","서울특별시 영등포구 여의도동","44-5","0044","0005","힐스테이트 여의도 파인루체","월세","53.8900","202609","10","10,000","280","8","2023","여의대방로69길 19","202610~202810","신규","-","",""
"145","서울특별시 영등포구 영등포동7가","91-2","0091","0002","블리스 다임빌","전세","36.1700","202609","10","34,650","0","8","2018","국회대로54길 2","202610~202810","갱신","-","33,000","5"
"146","서울특별시 영등포구 영등포동7가","94-299","0094","0299","아크로조인","월세","42.0300","202609","10","29,700","9","6","2018","버드나루로11길 11","202610~202810","갱신","사용","29,200","5"
"147","서울특별시 영등포구 양평동6가","94","0094","0000","선유도역 더블파크 투웨니퍼스트","월세","28.4200","202609","10","19,000","56","4","2020","양평로30길 38","202610~202810","갱신","사용","19,000","50"
"148","서울특별시 영등포구 당산동5가","9-3","0009","0003","당산역해링턴타워","월세","23.5900","202609","10","1,000","95","4","2015","당산로 205","202609~202709","신규","-","",""
"149","서울특별시 영등포구 문래동6가","2-2","0002","0002","문래동 현대홈시티2","월세","57.0600","202609","10","3,000","140","15","2004","선유로13길 5","202609~202809","신규","-","",""
