사업장명,소재지도로명주소,소재지지번주소,위도,경도,폐기물분류명,폐기물세부종류명,처리방법내용,전화번호,배출량,신고기준연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
가야농협동물병원,경상남도 합천군 가야면 가야시장로 53,경상남도 합천군 가야면 황산리 18-8,35.759469803,128.1382374487,의료폐기물,,,,1.62,2001,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
소망가축병원,경상남도 합천군 삼가면 삼가1로 89,경상남도 합천군 삼가면 금리 55-1,35.4141766005,128.1226323491,의료폐기물,,,,0.096,2001,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
삼가가축병원,경상남도 합천군 삼가면 삼가중앙1길 33,경상남도 합천군 삼가면 일부리 933-4,35.4140665825,128.1204557009,의료폐기물,,,,0.096,2001,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천고려한의원,경상남도 합천군 합천읍 옥산로 69,경상남도 합천군 합천읍 합천리 413-2,35.5684256085,128.1628310984,의료폐기물,,,,0.18,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
창신한의원,경상남도 합천군 삼가면 삼가중앙1길 39,경상남도 합천군 삼가면 일부리 931-7,35.4143312498,128.1206245063,의료폐기물,,,,0.096,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
허승무한의원,경상남도 합천군 합천읍 충효로 77-8,경상남도 합천군 합천읍 합천리 598-3,35.5673942773,128.1608814863,의료폐기물,,,,0.156,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
경상남도동물위생시험소 북부지소,경상남도 합천군 합천읍 인덕로 1665,경상남도 합천군 합천읍 장계리 825,35.6107158344,128.1143231839,의료폐기물,,,,5.88,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
예일치과,경상남도 합천군 합천읍 대야로 888,경상남도 합천군 합천읍 합천리 403-3,35.5675213794,128.1634212783,의료폐기물,,,,0.306,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
안동환치과의원,경상남도 합천군 합천읍 충효로1길 11-21,경상남도 합천군 합천읍 합천리 686-3,35.5639064043,128.1623393887,의료폐기물,,,,0.138,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
동부의원,경상남도 합천군 초계면 초계중앙로 54,경상남도 합천군 초계면 초계리 104-2,35.5590908516,128.2659058613,의료폐기물,,,,0.288,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
성심의원,경상남도 합천군 삼가면 삼가중앙길 23,경상남도 합천군 삼가면 일부리 925-1,35.4134624406,128.1220599781,의료폐기물,,,,0.48,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
경남연합의원,경상남도 합천군 합천읍 옥산로 70,경상남도 합천군 합천읍 합천리 413-9,35.5681044773,128.1628612036,의료폐기물,,,,1.266,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
제일의원,경상남도 합천군 초계면 초계중앙로 86,경상남도 합천군 초계면 초계리 24-13,35.5588312488,128.2694843137,의료폐기물,,,,1.098,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
바른윤내과의원,"경상남도 합천군 합천읍 동서로 95(101호, 201호)",경상남도 합천군 합천읍 합천리 322-5,35.5666765082,128.162819391,의료폐기물,,,,2.784,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
중앙의원,경상남도 합천군 합천읍 대야로 889,경상남도 합천군 합천읍 합천리 411-1,35.5677999187,128.1629951227,의료폐기물,,,,0.5316,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
현대의원,경상남도 합천군 삼가면 삼가1로 94,경상남도 합천군 삼가면 일부리 883-2,35.4137365659,128.1228205598,의료폐기물,,,,0.936,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
삼가의원,경상남도 합천군 삼가면 삼가중앙길 27-8,경상남도 합천군 삼가면 금리 55-4,35.4137722317,128.1223480937,의료폐기물,,,,0.54,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
낙진보건진료소,경상남도 합천군 청덕면 앙진길 417,경상남도 합천군 청덕면 앙진리 513,35.5231394756,128.3586225508,의료폐기물,,,,0.24,2017,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
와리보건진료소,경상남도 합천군 율곡면 와리길 5-10,경상남도 합천군 율곡면 와리 735-9,35.611100327,128.1962211072,의료폐기물,,,,0.24,2014,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
장인보건진료소,경상남도 합천군 합천읍 인덕로 1679,경상남도 합천군 합천읍 장계리 853-4,35.6116784922,128.1166542911,의료폐기물,,,,0.24,2014,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
병목보건진료소,경상남도 합천군 대병면 서부로 2417,경상남도 합천군 대병면 유전리 960,35.5404311395,127.9890810658,의료폐기물,,,,0.24,2013,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
장단보건진료소,경상남도 합천군 대병면 대병3산로 287,경상남도 합천군 대병면 장단리 892-1,35.5157534854,128.0461447489,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
대기보건진료소,경상남도 합천군 가회면 황매산로 533,경상남도 합천군 가회면 중촌리 416-7,35.4632973465,128.0013092319,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
동리보건진료소,경상남도 합천군 삼가면 동리4길 7-29,경상남도 합천군 삼가면 동리 696-1,35.418232084,128.1468145473,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
평지보건진료소,경상남도 합천군 쌍백면 청정로 261,경상남도 합천군 쌍백면 평지리 589-2,35.4401316543,128.1716454741,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
백산보건진료소,경상남도 합천군 대양면 대한로 653-6,경상남도 합천군 대양면 백암리 262,35.4953958133,128.2187913709,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
소례보건진료소,경상남도 합천군 청덕면 강북로 362,경상남도 합천군 청덕면 삼학리 700-1,35.5941532986,128.3376090047,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
대동보건진료소,경상남도 합천군 덕곡면 오광대로 737,경상남도 합천군 덕곡면 장리 523-1,35.6278314717,128.3234089402,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
이책보건진료소,경상남도 합천군 쌍책면 쌍쌍로 3,경상남도 합천군 쌍책면 하신리 84,35.6208476812,128.2527746538,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
하남보건진료소,경상남도 합천군 초계면 국사봉로 935,경상남도 합천군 초계면 상대리 275-24,35.5339989143,128.2509467262,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
숭산보건진료소,경상남도 합천군 가야면 매안대전길 27,경상남도 합천군 가야면 매안리 522-1,35.7313893432,128.1057322556,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
양지보건진료소,경상남도 합천군 봉산면 서부로 3640,경상남도 합천군 봉산면 양지리 785,35.5876987224,128.0031497016,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
용주면보건지소,경상남도 합천군 용주면 황계폭포로 1154-1,경상남도 합천군 용주면 용지리 271,35.5404239636,128.1137035986,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
대병면보건지소,경상남도 합천군 대병면 신성동길 21,경상남도 합천군 대병면 회양리 896-1,35.5212969161,128.0145924724,의료폐기물,,,,0.216,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
가회면보건지소,경상남도 합천군 가회면 황매산로 58-12,경상남도 합천군 가회면 덕촌리 273,35.4367081811,128.0344445842,의료폐기물,,,,0.252,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
삼가면보건지소,경상남도 합천군 삼가면 삼가로 299,경상남도 합천군 삼가면 소오리 25-3,35.4092310806,128.1207314651,의료폐기물,,,,0.252,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
쌍백면보건지소,경상남도 합천군 쌍백면 평구3길 14,경상남도 합천군 쌍백면 평구리 546-4,35.4397705808,128.1460636119,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
대양면보건지소,경상남도 합천군 대양면 대야로 267,경상남도 합천군 대양면 덕정리 924-7,35.5162199664,128.1736659713,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
적중면보건지소,경상남도 합천군 적중면 적중로 101-8,경상남도 합천군 적중면 부수리 835-5,35.5479912414,128.2800905384,의료폐기물,,,,0.252,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
청덕면보건지소,경상남도 합천군 청덕면 동부로 1754,경상남도 합천군 청덕면 두곡리 347-1,35.5593790504,128.3217717958,의료폐기물,,,,0.252,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
덕곡면보건지소,경상남도 합천군 덕곡면 율지2길 5,경상남도 합천군 덕곡면 율지리 143-2,35.6156643407,128.3590131103,의료폐기물,,,,0.252,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
쌍책면보건지소,경상남도 합천군 쌍책면 성산우회로 8,경상남도 합천군 쌍책면 성산리 125-2,35.5748856073,128.2878339687,의료폐기물,,,,0.252,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
초계면보건지소,경상남도 합천군 초계면 초계2길 19,경상남도 합천군 초계면 초계리 27-4,35.5573942463,128.2680623233,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
율곡면보건지소,경상남도 합천군 율곡면 영전3길 29,경상남도 합천군 율곡면 영전리 458-5,35.5724717253,128.2187687212,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
가야면보건지소,경상남도 합천군 가야면 가야시장로 87,경상남도 합천군 가야면 야천리 467-10,35.7622970922,128.1389985424,의료폐기물,,,,0.132,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
묘산면보건지소,경상남도 합천군 묘산면 묘산로 173,경상남도 합천군 묘산면 산제리 37-3,35.6584070374,128.1130270726,의료폐기물,,,,0.24,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
봉산면보건지소,경상남도 합천군 봉산면 서부로 4344-7,경상남도 합천군 봉산면 김봉리 1,35.6278476339,128.0446771635,의료폐기물,,,,0.252,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
북부보건지소,경상남도 합천군 야로면 향교길 8,경상남도 합천군 야로면 구정리 287-1,35.7047637988,128.16812433,의료폐기물,,,,0.528,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
경상남도 합천군보건소,경상남도 합천군 합천읍 동서로 39,경상남도 합천군 합천읍 합천리 524-1,35.5679281117,128.1567533594,의료폐기물,,,,6.42,2007,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
(의)용성의료재단 합천고려병원,경상남도 합천군 대양면 대야로 737-20,경상남도 합천군 대양면 정양리 587-5,35.5530403574,128.1612807182,의료폐기물,,,,4.44,2000,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
㈜케이티엠오에스남부,경상남도 합천군 가회면 두심2길 17-1,경상남도 합천군 가회면 둔내리 517-1,35.4912719985,128.0228781376,지정폐기물,,,,48,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
㈜케이티엠오에스남부,경상남도 합천군 쌍책면 성산안길 31,경상남도 합천군 쌍책면 성산리 153-7,35.5768855614,128.2847301995,지정폐기물,,,,48,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
㈜케이티엠오에스남부,경상남도 합천군 봉산면 양지3길 11,경상남도 합천군 봉산면 양지리 596,35.5946835903,128.0052804949,지정폐기물,,,,48,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
㈜케이티엠오에스남부,경상남도 합천군 대병면 대지1길 30-6,경상남도 합천군 대병면 대지리 98,35.5419042707,127.9829610942,지정폐기물,,,,48,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
㈜케이티엠오에스남부,경상남도 합천군 적중면 상중부우회길 7,경상남도 합천군 적중면 상부리 830-5,35.5482766307,128.2777484249,지정폐기물,,,,48,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
㈜케이티엠오에스남부,경상남도 합천군 야로면 가야산로 344,경상남도 합천군 야로면 구정리 245-1,35.7049643878,128.1690640067,지정폐기물,,,,48,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
경상남도 합천군시설관리공단 (합천공공하수처리시설),경상남도 합천군 합천읍 동서로 39,경상남도 합천군 합천읍 합천리 524-1,35.5679281117,128.1567533594,지정폐기물,,,,1,2025,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
프로콘코리아㈜,경상남도 합천군 야로면 야로공단길 15,경상남도 합천군 야로면 매촌리 666-22,35.716033697,128.1655501012,지정폐기물,,,,4,2022,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
경상남도 119특수대응단 119항공대,경상남도 합천군 용주면 고품부흥1길 10-28,경상남도 합천군 용주면 고품리 910-210,35.5545936329,128.1146876734,지정폐기물,,,,3.3,2022,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
KT합천지점,경상남도 합천군 합천읍 옥산로 40,경상남도 합천군 합천읍 합천리 479-5,35.5680973691,128.1592295735,지정폐기물,,,,0.9,2021,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
합천밧데리할인점,경상남도 합천군 합천읍 중앙로 82(1층),경상남도 합천군 합천읍 합천리 482-7,35.5679667995,128.1590119389,지정폐기물,,,,36,2020,경상남도 합천군,055-930-3303,2026-04-16,5480000,경상남도 합천군
